Name,Default Value,Warband Name,Description
iTextureQuality,2,rgl_config.txt - texture_detail,"0 - abysmal, 1 - low, 2 - medium, 3 - high"
iInitialNumBufferedInstances,1024,,
iMaxNumBufferedInstances,32768,,
iIndexBufferSizeStatic,131072,,
iIndexBufferSizeDynamic,262144,,
iVertexBufferSizeRegularStatic,131072,game_variables.txt - new_buffer_size_regular_static,Modders may adjust these large enough so that the game will not need to restore buffers during the game. However keeping them excessively large will reduce performance in most systems.
iVertexBufferSizeRegularDynamic,65536,game_variables.txt - new_buffer_size_regular_dynamic,
iVertexBufferSizeNormalMapStatic,131072,game_variables.txt - new_buffer_size_normal_map_static,
iVertexBufferSizeNormalMapDynamic,65536,game_variables.txt - new_buffer_size_normal_map_dynamic,
iVertexBufferSizeSkinningStatic,131072,game_variables.txt - new_buffer_size_skinning_static,
iVertexBufferSizeSkinningDynamic,65536,game_variables.txt - new_buffer_size_skinning_dynamic,
iVertexBufferSizeNormalMapSkinningStatic,131072,game_variables.txt - new_buffer_size_normal_map_skinning_static,
iVertexBufferSizeNormalMapSkinningDynamic,65536,game_variables.txt - new_buffer_size_normal_map_skinning_dynamic,
iVertexBufferSizeSpecialStatic,65536,,
iVertexBufferSizeSpecialDynamic,32768,,
iDiffuseMapMinFilter,3,,"0 - filtering disabled, 1 - nearest, 2 - linear interpolation, 3 - anisotropic"
iDiffuseMapMagFilter,3,,"0 - filtering disabled, 1 - nearest, 2 - linear interpolation, 3 - anisotropic"
iDiffuseMapMipFilter,2,,"0 - filtering disabled, 1 - nearest, 2 - linear interpolation"
iDiffuseMapMaxAnisotropy,16,,limit for anisotropic filtering
iNormalMapMinFilter,3,,"0 - filtering disabled, 1 - nearest, 2 - linear interpolation, 3 - anisotropic"
iNormalMapMagFilter,3,,"0 - filtering disabled, 1 - nearest, 2 - linear interpolation, 3 - anisotropic"
iNormalMapMipFilter,2,,"0 - filtering disabled, 1 - nearest, 2 - linear interpolation"
iNormalMapMaxAnisotropy,4,,limit for anisotropic filtering
iSpecularMapMinFilter,2,,"0 - filtering disabled, 1 - nearest, 2 - linear interpolation, 3 - anisotropic"
iSpecularMapMagFilter,2,,"0 - filtering disabled, 1 - nearest, 2 - linear interpolation, 3 - anisotropic"
iSpecularMapMipFilter,2,,"0 - filtering disabled, 1 - nearest, 2 - linear interpolation"
iSpecularMapMaxAnisotropy,0,,limit for anisotropic filtering
iEnvironmentMapMinFilter,2,,"0 - filtering disabled, 1 - nearest, 2 - linear interpolation, 3 - anisotropic"
iEnvironmentMapMagFilter,2,,"0 - filtering disabled, 1 - nearest, 2 - linear interpolation, 3 - anisotropic"
iEnvironmentMapMipFilter,2,,"0 - filtering disabled, 1 - nearest, 2 - linear interpolation"
iEnvironmentMapMaxAnisotropy,0,,limit for anisotropic filtering
iCubeMapMinFilter,2,,"0 - filtering disabled, 1 - nearest, 2 - linear interpolation, 3 - anisotropic"
iCubeMapMagFilter,2,,"0 - filtering disabled, 1 - nearest, 2 - linear interpolation, 3 - anisotropic"
iCubeMapMipFilter,2,,"0 - filtering disabled, 1 - nearest, 2 - linear interpolation"
iCubeMapMaxAnisotropy,0,,limit for anisotropic filtering
bUseBorderedShadowSampler,FALSE,module.ini - use_bordered_shadow_sampler,use D3DTADDRESS_BORDER instead D3DTADDRESS_CLAMP for shadow map sampler
